,_id,previous_day_doses_administered,report_date,total_doses_administered,total_doses_in_fully_vaccinated_individuals,total_individuals_fully_vaccinated
0,1,,2020-12-24T00:00:00,"10,756",,
1,2,"4,595",2020-12-30T00:00:00,"18,603",,
2,3,"5,463",2020-12-31T00:00:00,"23,502",,
3,4,"5,415",2021-01-01T00:00:00,"28,887",,
4,5,"4,305",2021-01-02T00:00:00,"33,191",,
5,6,"4,361",2021-01-03T00:00:00,"37,551",,
6,7,"4,808",2021-01-04T00:00:00,"42,419",,
7,8,"7,607",2021-01-05T00:00:00,"50,030",,
8,9,"10,350",2021-01-06T00:00:00,"60,380",860,430
9,10,"12,251",2021-01-07T00:00:00,"72,631","2,173","1,087"
10,11,"14,932",2021-01-08T00:00:00,"87,563","4,053","2,027"
11,12,"15,700",2021-01-09T00:00:00,"103,263","5,880","2,940"
12,13,"9,983",2021-01-10T00:00:00,"113,246","5,884","2,942"
13,14,"8,859",2021-01-11T00:00:00,"122,105","5,884","2,942"
14,15,"11,448",2021-01-12T00:00:00,"133,553","6,046","3,023"
15,16,"11,231",2021-01-13T00:00:00,"144,784","8,778","4,389"
16,17,"14,237",2021-01-14T00:00:00,"159,021","13,293","6,647"
17,18,"15,609",2021-01-15T00:00:00,"174,630","17,094","8,547"
18,19,"14,460",2021-01-16T00:00:00,"189,090","19,333","9,667"
19,20,"11,007",2021-01-17T00:00:00,"200,097","21,714","10,857"
20,21,"9,691",2021-01-18T00:00:00,"209,788","21,752","10,876"
21,22,"14,346",2021-01-19T00:00:00,"224,134","25,609","12,805"
22,23,"13,784",2021-01-20T00:00:00,"237,918","32,361","16,181"
23,24,"15,899",2021-01-21T00:00:00,"253,817","40,225","20,113"
24,25,"11,168",2021-01-22T00:00:00,"264,985","49,292","24,646"
25,26,"11,161",2021-01-23T00:00:00,"276,146","57,907","28,954"
26,27,"4,427",2021-01-24T00:00:00,"280,573","62,881","31,441"
27,28,"5,537",2021-01-25T00:00:00,"286,110","71,256","35,628"
28,29,"9,707",2021-01-26T00:00:00,"295,817","83,285","41,643"
29,30,"9,513",2021-01-27T00:00:00,"305,330","96,459","48,230"
30,31,"11,910",2021-01-28T00:00:00,"317,240","110,571","55,286"
31,32,"10,215",2021-01-29T00:00:00,"327,455","123,357","61,679"
32,33,"9,373",2021-01-30T00:00:00,"336,828","135,574","67,787"
33,34,"2,816",2021-01-31T00:00:00,"339,644","137,698","68,849"
34,35,"2,256",2021-02-01T00:00:00,"341,900","140,585","70,293"
35,36,"2,715",2021-02-02T00:00:00,"344,615","144,113","72,057"
36,37,"3,716",2021-02-03T00:00:00,"348,331","149,987","74,994"
37,38,"6,724",2021-02-04T00:00:00,"355,055","161,954","80,977"
38,39,"7,694",2021-02-05T00:00:00,"362,749","175,662","87,831"
39,40,"9,917",2021-02-06T00:00:00,"372,666","193,146","96,573"
40,41,"6,518",2021-02-07T00:00:00,"379,184","203,487","101,744"
41,42,"6,987",2021-02-08T00:00:00,"386,171","212,326","106,163"
42,43,"12,462",2021-02-09T00:00:00,"398,633","231,058","115,529"
43,44,"13,486",2021-02-10T00:00:00,"412,119","251,449","125,725"
44,45,"14,717",2021-02-11T00:00:00,"426,836","273,975","136,988"
45,46,"15,605",2021-02-12T00:00:00,"442,441","302,563","151,282"
46,47,"14,506",2021-02-13T00:00:00,"456,947","328,614","164,307"
47,48,"10,679",2021-02-14T00:00:00,"467,626","349,286","174,643"
48,49,"7,698",2021-02-15T00:00:00,"475,324","364,274","182,137"
49,50,"5,053",2021-02-16T00:00:00,"480,377","373,867","186,934"
50,51,"9,107",2021-02-17T00:00:00,"489,484","390,731","195,366"
51,52,"12,383",2021-02-18T00:00:00,"501,867","411,604","205,802"
52,53,"16,967",2021-02-19T00:00:00,"518,834","435,429","217,715"
53,54,"21,295",2021-02-20T00:00:00,"540,129","458,301","229,151"
54,55,"16,404",2021-02-21T00:00:00,"556,533","471,843","235,922"
55,56,"12,922",2021-02-22T00:00:00,"569,455","481,337","240,669"
